2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:24:14.740541 | [TRADE-DECISION] SOLUSDC | Action: NEUTRAL | Confiance: 0.19 | Score: 0.1935 | Tech: 0.11 | AI: 0.15
2025-08-15T06:24:14.856407 | [TRADE-DECISION] SOLUSDC | Action: BUY | Confiance: 0.33 | Score: 0.3268 | Tech: 0.24 | AI: 0.15
2025-08-15T06:24:14.977550 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.23 | Score: -0.2294 | Tech: -0.01 | AI: 0.15
2025-08-15T06:24:15.099496 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.26 | Score: -0.2642 | Tech: -0.02 | AI: 0.15
2025-08-15T06:24:15.221569 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.11 | Score: -0.1090 | Tech: -0.02 | AI: 0.15
2025-08-15T06:24:15.342915 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: -0.1420 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:15.464631 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: -0.1465 | Tech: 0.07 | AI: 0.15
2025-08-15T06:24:15.586966 | [TRADE-DECISION] TRXUSDC | Action: NEUTRAL | Confiance: 0.01 | Score: 0.0116 | Tech: 0.25 | AI: 0.15
2025-08-15T06:24:15.706428 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.05 | Score: 0.0471 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:15.825985 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.04 | Score: 0.0443 | Tech: 0.01 | AI: 0.15
2025-08-15T06:24:15.945041 | [TRADE-DECISION] SUIUSDC | Action: BUY | Confiance: 0.35 | Score: 0.3534 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:16.064090 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: 0.0242 | Tech: 0.02 | AI: 0.15
2025-08-15T06:24:16.183819 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.19 | Score: -0.1920 | Tech: 0.02 | AI: 0.15
2025-08-15T06:24:16.258920 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: 0.1700 | Tech: 0.19 | AI: 0.15
2025-08-15T06:24:16.377777 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: -0.0179 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:16.500663 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.13 | Score: 0.1299 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:16.623140 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.18 | Score: 0.1795 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:16.744857 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.06 | Score: -0.0555 | Tech: 0.04 | AI: 0.15
2025-08-15T06:24:16.866912 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.10 | Score: -0.1034 | Tech: 0.06 | AI: 0.15
2025-08-15T06:24:16.987913 | [TRADE-DECISION] LINKUSDC | Action: BUY | Confiance: 0.30 | Score: 0.3020 | Tech: 0.43 | AI: 0.15
2025-08-15T06:24:19.655815 | [ORDER] Tentative d'exécution: BUY 15.0 LINK/USDC (iceberg: False)
2025-08-15T06:24:22.285159 | [ORDER] Exécuté avec succès: BUY 0.65000000 LINK/USDC @ 22.82
2025-08-15T06:41:58.656806 | Démarrage cycle trading
2025-08-15T06:42:03.441948 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.05 | Score: 0.0525 | Tech: 0.00 | AI: 0.15
